creator_id,platform,content_type,time_slot,avg_engagement
1,Instagram,SHORT,0,0.934
1,Instagram,SHORT,1,0.397
1,Instagram,SHORT,2,0.616
1,Instagram,SHORT,3,0.57
1,Instagram,SHORT,4,1.019
1,Instagram,SHORT,5,0.967
1,Instagram,SHORT,6,1.156
1,Instagram,SHORT,7,0.451
1,Instagram,SHORT,8,0.744
1,Instagram,SHORT,9,0.401
1,Instagram,SHORT,10,0.566
1,Instagram,SHORT,11,0.817
1,Instagram,SHORT,12,0.398
1,Instagram,SHORT,13,0.549
1,Instagram,SHORT,14,0.944
1,Instagram,SHORT,15,0.852
1,Instagram,SHORT,16,0.568
1,Instagram,SHORT,17,0.891
1,Instagram,SHORT,18,1.083
1,Instagram,SHORT,19,0.381
1,Instagram,SHORT,20,1.08
1,Instagram,SHORT,21,0.986
1,Instagram,SHORT,22,0.673
1,Instagram,SHORT,23,0.511
1,Instagram,LONG,0,0.825
1,Instagram,LONG,1,0.455
1,Instagram,LONG,2,0.31
1,Instagram,LONG,3,0.313
1,Instagram,LONG,4,0.759
1,Instagram,LONG,5,0.614
1,Instagram,LONG,6,0.735
1,Instagram,LONG,7,0.689
1,Instagram,LONG,8,0.574
1,Instagram,LONG,9,0.834
1,Instagram,LONG,10,0.48
1,Instagram,LONG,11,0.583
1,Instagram,LONG,12,0.748
1,Instagram,LONG,13,0.623
1,Instagram,LONG,14,0.768
1,Instagram,LONG,15,0.599
1,Instagram,LONG,16,0.674
1,Instagram,LONG,17,0.282
1,Instagram,LONG,18,0.391
1,Instagram,LONG,19,0.427
1,Instagram,LONG,20,0.302
1,Instagram,LONG,21,0.394
1,Instagram,LONG,22,0.315
1,Instagram,LONG,23,0.42
1,YouTube,SHORT,0,0.633
1,YouTube,SHORT,1,0.472
1,YouTube,SHORT,2,0.475
1,YouTube,SHORT,3,0.38
1,YouTube,SHORT,4,0.414
1,YouTube,SHORT,5,0.812
1,YouTube,SHORT,6,0.641
1,YouTube,SHORT,7,0.617
1,YouTube,SHORT,8,0.357
1,YouTube,SHORT,9,0.689
1,YouTube,SHORT,10,0.352
1,YouTube,SHORT,11,0.481
1,YouTube,SHORT,12,0.844
1,YouTube,SHORT,13,0.636
1,YouTube,SHORT,14,0.586
1,YouTube,SHORT,15,0.662
